iter	Logloss
0	0.6645993657
1	0.6409581629
2	0.6177896692
3	0.6011732861
4	0.5888367477
5	0.5796145547
6	0.5757212616
7	0.5717127886
8	0.5676501379
9	0.560432661
10	0.5512425933
11	0.5481972119
12	0.5433209747
13	0.5397854845
14	0.5345922338
15	0.5282684553
16	0.5251593795
17	0.5186214345
18	0.5146175154
19	0.5114917921
20	0.5079848287
21	0.5061162717
22	0.5028878945
23	0.5006588689
24	0.4989937931
25	0.4973657144
26	0.4965061855
27	0.4944515466
28	0.492919534
29	0.4908424336
30	0.489235302
31	0.4878213993
32	0.4862526766
33	0.4841605354
34	0.4821063933
35	0.4790223548
36	0.4765001854
37	0.4750093735
38	0.4731811715
39	0.4708881261
40	0.4681955997
41	0.466464777
42	0.4651399872
43	0.4637379988
44	0.4625227184
45	0.4611463828
46	0.4597365455
47	0.4588951429
48	0.4572312683
49	0.4559179301
50	0.4546655907
51	0.4531376086
52	0.4516620647
53	0.4501341412
54	0.4494762506
55	0.4482807472
56	0.4467595646
57	0.4458559495
58	0.4448530145
59	0.4438205552
60	0.4431191971
61	0.4416055457
62	0.4404976696
63	0.4392063312
64	0.4377402584
65	0.4372775691
66	0.4360579761
67	0.4355022852
68	0.4344077251
69	0.4334012508
70	0.43283656
71	0.4317178108
72	0.4309388348
73	0.4304809655
74	0.4291985178
75	0.428234697
76	0.4271557477
77	0.4258588376
78	0.4246881687
79	0.4237557961
80	0.4226830397
81	0.4220143184
82	0.4208550701
83	0.4182210326
84	0.4165085272
85	0.4152738698
86	0.4145399977
87	0.4137608234
88	0.412213491
89	0.4114444305
90	0.4100052632
91	0.4087012124
92	0.4075721912
93	0.4065090278
94	0.4056987478
95	0.4047718607
96	0.4038406967
97	0.4022029799
98	0.4017999245
99	0.4008823997
100	0.3992557382
101	0.3979982662
102	0.3971369508
103	0.3960044537
104	0.3952660993
105	0.3936859184
106	0.3923855269
107	0.3913791551
108	0.3901434607
109	0.3887693416
110	0.3877094659
111	0.3861135075
112	0.3843610157
113	0.38270882
114	0.3819491731
115	0.3804959248
116	0.3781838492
117	0.3761063482
118	0.3749499096
119	0.3745089975
120	0.3701371373
121	0.3695652615
122	0.3681296993
123	0.3665435572
124	0.3653207111
125	0.3643371233
126	0.3628108363
127	0.3626323988
128	0.3618771141
129	0.3605381608
130	0.3599188674
131	0.3590311043
132	0.3580923777
133	0.3569466972
134	0.3557564052
135	0.3544429035
136	0.3537180507
137	0.3526773682
138	0.3519727989
139	0.3510941966
140	0.35046522
141	0.3491854694
142	0.347747737
143	0.3466914165
144	0.3458030438
145	0.3445110655
146	0.3434212801
147	0.3426984611
148	0.3419763287
149	0.341219831
150	0.3404546614
151	0.3392876712
152	0.3384777322
153	0.3380430631
154	0.337299922
155	0.3365423855
156	0.3358346111
157	0.3345200565
158	0.3343164424
159	0.3333234489
160	0.3332271983
161	0.3325505161
162	0.3313577163
163	0.3304346384
164	0.3295218618
165	0.328842769
166	0.327807596
167	0.3269316437
168	0.3258974703
169	0.3250138044
170	0.3240039794
171	0.3228809964
172	0.3224742491
173	0.3214556036
174	0.3205198684
175	0.3195791583
176	0.3188737643
177	0.3179402827
178	0.3169997314
179	0.3162035901
180	0.3150905887
181	0.3141594545
182	0.313574054
183	0.3121520887
184	0.311249814
185	0.3106194794
186	0.3100336267
187	0.3093349507
188	0.3084169882
189	0.3075159383
190	0.3064975848
191	0.3058663501
192	0.3052954318
193	0.3049566103
194	0.3048568321
195	0.3042161563
196	0.3027543811
197	0.3018918595
198	0.3011497447
199	0.3003810267
